Desporto
8 de junho
2004
Comité Olímpico Internacional
Macau
Filomena Fortes
Língua portuguesa
Website
Português europeu
Português brasileiro
Lisboa
8 de Junho
Comitê Olímpico Nacional
Angola
Brasil
Cabo Verde
Timor-Leste
Guiné-Bissau
República Popular da China
Moçambique
Portugal
Guiné Equatorial
Índia
Goa
Sri Lanka
Lusofonia
Lema
China
São Tomé e Príncipe
Igualdade
Respeito
Convergência
Jogos da Lusofonia
2 de Fevereiro
2007
Associação de Comitês Olímpicos Nacionais da África
Futebol
2006
2009
2013
2017
2010
Comité Olímpico e Desportivo de Macau
Comité Olímpico Angolano
Comité Olímpico de São Tomé e Príncipe
Comité Olímpico de Portugal
Carlos Arthur Nuzman
Comitê Olímpico do Brasil
Comité Olímpico Nacional do Sri Lanka
Comité Olímpico da Guiné-Bissau
João Viegas Carrascalão
Comité Olímpico Nacional de Timor-Leste
Comité Olímpico Nacional de Moçambique
Comité Olímpico Cabo-verdiano
Francisco Costa
João Carrascalão
Comité Olímpico Cabo-Verdiano
Comité Olímpico Nacional da Guiné Equatorial
Jogos da Lusofonia de 2006
Jogos da Lusofonia de 2009
Jogos da Lusofonia de 2014
Jogos da Lusofonia de 2017
