Cumaru (Pernambuco)
Cumaru-nordestino
Baru
Classificação científica
Reino (biologia)
Plantae
Divisão (biologia)
Magnoliophyta
Classe (biologia)
Magnoliopsida
Ordem (biologia)
Fabales
Família (biologia)
Fabaceae
Faboideae
Género (biologia)
Dipteryx
Espécie
Nomenclatura binomial
Sinonímia (taxonomia)
Museu do Ipiranga
Nomenclatura vernácula
Língua tupi
Legume
Drupa
Cumarina
Baunilha
Tabaco
Rapé
Brasil
Colômbia
Guiana Francesa
Guiana
Peru
Ilhas Seychelles
Suriname
Universidade Federal do Pará
Célula-tronco
Neurônio
INPA
