Língua inglesa
Terceiro Mundo
Industrialização
Fábrica
Direitos civis
República Popular da China
Cristianismo
China
Arábia Saudita
Direitos humanos
Anistia Internacional
Década de 1970
Tigres asiáticos
Hong Kong
Coreia do Sul
Singapura
República da China
Taiwan
Década de 1960
PIB per capita
Exportação
OCDE
Produto interno bruto
Lista de países por Índice de Desenvolvimento Humano
África
África do Sul
BRICS
América do Norte
México
OECD
América do Sul
Brasil
Ásia
Índia
Malásia
Filipinas
Tailândia
Eurásia
Turquia
União Europeia
Países desenvolvidos
Renda per capita
2006
Estados Unidos
International Standard Book Number
Programa de Desenvolvimento das Nações Unidas
Primeiro Mundo
Segundo Mundo
Quarto Mundo
Micronacionalismo
Teoria dos três mundos
País desenvolvido
País em desenvolvimento
País subdesenvolvido
Países pobres altamente endividados
Liberdade econômica
Índice de Liberdade Econômica
Lista de países por PIB nominal
Lista de países por PIB nominal per capita
Lista de países por PIB (Paridade do Poder de Compra)
Lista de países por PIB (Paridade do Poder de Compra) per capita
Índice de Desenvolvimento Humano
Índice de pobreza humana
Lista de países por índice de pobreza
Terceiro-mundismo
BRIC
G20
Grupo dos 77
Cooperação Sul-Sul
Sul global
Pequenos Estados insulares em desenvolvimento
Mercados emergentes
Economia de transição
Teoria dos Mundos
Descolonização
Guerra Fria
Neocolonialismo
Multipolaridade
Conferência Mundial contra o Racismo
Globalização
BASIC (grupo de países)
Fórum de Diálogo Índia-Brasil-África do Sul
Próximos Onze
"Organização dos Estados de África, Caraíbas e Pacífico"
Banco Asiático de Investimento em Infraestrutura
Banco Asiático de Desenvolvimento
Fundo Monetário Árabe
Banco do Sul
Modelo dos gansos voadores
Sistema Global de Preferências Comerciais entre Países em Desenvolvimento
Nova Ordem Econômica Internacional
Nova Ordem Mundial da Informação e Comunicação
Conferência das Nações Unidas sobre Comércio e Desenvolvimento
Programa das Nações Unidas para o Desenvolvimento
Organização das Nações Unidas para o Desenvolvimento Industrial
Medicamento genérico
Biossimilar
Organização Mundial da Saúde
Grupo dos 15
G20 (países em desenvolvimento)
Grupo dos 24
Grupo dos Onze
Movimento dos Países Não Alinhados
União Africana
Associação de Nações do Sudeste Asiático
Plano Colombo
Conferência de Bandungue
Comunidade de Estados Latino-Americanos e Caribenhos
Zona de Paz e Cooperação do Atlântico Sul
Associação Sul-Asiática para a Cooperação Regional
Aliança dos Pequenos Estados Insulares
Divisão norte-sul
Relatório Brandt
Sistema financeiro mundial
Comércio justo
Base Virtual Internacional de Autoridade
Encyclopædia Britannica
Gemeinsame Normdatei
Biblioteca Nacional da Dieta
