Corante
Tintura de cabelo
Idade Média
Monschau
Fibra
Substrato
Luz
Percepção
Cor
Beneficiamento de tecidos
Jacquard
Índigo
Algodão
Linho
Tingimento reativo
Poliester
Poliamida
Lã
Tie-dye
Indústria têxtil
Corda
Crochê
Engenharia têxtil
Fiação
Padronagem
Patchwork
Pultrusão
Quilting
Rapport
Renda (tecido)
Tapeçaria
Tear
Tecelagem
Têxtil técnico
Musa textilis
Bagaço
Cânhamo
Fibra de coco
Juta
Mafumeira
Rami
Ráfia
Calamus rotang
Sisal
Bisso
Catgut
Fibra de alpaca
Lã de angorá
Camelo
Casimira
Guanaco
Iaque
Lhama
Mohair
Pashmina
Vicunha
Seda
Seda de aranha
Amianto
Acetato de celulose
Raiom
Fibra de vidro
Fibra de carbono
Fibra de basalto
Polímero
Fibra acrílica
Kevlar
Nomex
Elastano
Poliéster
Polietileno
UHMWPE
Fio têxtil
Carda
Penteação
Fio fantasia
Tecido têxtil
Malharia
Tricô
Brim
Calicô
Cambraia
Cetim
Chita (tecido)
Cotim
Cretone
Damasco (tecido)
Entretela
Kente
Lona
Matelassê
Organdi
Organza
Percal
Raso turco
Sarja
Tafetá
Veludo
Feltro
Geotêxtil
TNT (tecido)
Pele
Camurça
