Christopher Nolan
Oscar 2024
Estados Unidos
Oppenheimer (filme)
Academia de Artes e Ciências Cinematográficas
Português brasileiro
Português europeu
Língua inglesa
Lista de categorias de premiação do Óscar
Óscar
Diretor de cinema
Produção cinematográfica
Indústria do cinema
Oscar de melhor filme
John Ford
Frank Capra
William Wyler
Clint Eastwood
Million Dollar Baby
Damien Chazelle
La La Land (filme)
Joseph L. Mankiewicz
Alejandro González Iñárritu
Kathryn Bigelow
The Hurt Locker
Chloé Zhao
Nomadland
The Power of the Dog
Oscar 1929
Frank Borzage
Seventh Heaven
Sorrell and Son
King Vidor
The Crowd (1928)
Lewis Milestone
Two Arabian Knights
Speedy (1928)
Oscar 1930
Frank Lloyd
The Divine Lady
Lionel Barrymore
Madame X (filme de 1929)
The Broadway Melody
Irving Cummings
In Old Arizona
Drag (1929)
Ernst Lubitsch
The Patriot (1928)
All Quiet on the Western Front
Clarence Brown
Anna Christie
Romance (1930)
Robert Z. Leonard
A Divorciada
The Love Parade
Hallelujah (1929)
Norman Taurog
Skippy
A Free Soul
The Front Page (1931)
Wesley Ruggles
Cimarron (1931)
Josef von Sternberg
Marrocos (filme)
Bad Girl (1931)
O Campeão (1931)
Shanghai Express
Cavalcade
Lady for a Day
George Cukor
Little Women (1933)
It Happened One Night
One Night of Love
W. S. Van Dyke
The Thin Man
The Informer
Henry Hathaway
The Lives of a Bengal Lancer
Mutiny on the Bounty (1935)
Michael Curtiz
Captain Blood
Mr. Deeds Goes to Town
My Man Godfrey
The Great Ziegfeld
San Francisco (filme)
Dodsworth (1936)
Leo McCarey
The Awful Truth
The Life of Emile Zola
The Good Earth
Stage Door
William A. Wellman
A Star Is Born (1937)
You Can't Take It with You
Angels with Dirty Faces
Four Daughters
Boys Town (filme)
A Cidadela (filme)
Victor Fleming
Gone with the Wind
Mr. Smith Goes to Washington
Stagecoach (1939)
"Goodbye, Mr. Chips"
Wuthering Heights (1939)
As Vinhas da Ira (filme)
The Philadelphia Story
Alfred Hitchcock
Rebecca (filme)
Kitty Foyle
A Carta (filme de 1940)
How Green Was My Valley
Here Comes Mr. Jordan
Howard Hawks
Sergeant York
Orson Welles
Citizen Kane
The Little Foxes
Mrs. Miniver
Yankee Doodle Dandy
John Farrow
Wake Island
Mervyn LeRoy
Random Harvest
Kings Row
Casablanca (filme)
The Human Comedy (filme)
Henry King
A Canção de Bernadette
Heaven Can Wait (1943)
George Stevens
The More the Merrier
Going My Way
Lifeboat
Wilson (1944)
Otto Preminger
Laura (filme)
Billy Wilder
Double Indemnity
Farrapo Humano
National Velvet
Spellbound (1945)
The Bells of St. Mary's
Jean Renoir
The Southerner
The Best Years of Our Lives
The Yearling
It's a Wonderful Life
David Lean
Brief Encounter
Robert Siodmak
Os Assassinos
Elia Kazan
Gentleman's Agreement
A Double Life
Edward Dmytryk
