19 de dezembro
1899
Recife
5 de junho
1970
Brasileiros
Pintura
Desenhista
Escultura
Professor
Poeta
Brasil
Escola Nacional de Belas Artes
Rio de Janeiro (cidade)
1908
França
Academia Colarossi
Academia Julian
Académie de la Grande Chaumière
Fédora do Rego Monteiro Fernandes
Pedro Américo
Paris
São Paulo (estado)
Pablo Picasso
Georges Braque
Joan Miró
Gino Severini
Fernand Léger
Cubismo
Surrealismo
Tarsila do Amaral
Novo Testamento
UnB
Engenharia mecânica
Pernambuco
Escola de Belas Artes
Universidade Federal de Pernambuco
Gilberto Freyre
Lula Cardoso Ayres
Cícero Dias
Mário de Andrade
Oswald de Andrade
Teatro de Santa Isabel
1918
1920
1928
Museu do Estado de Pernambuco
1939
1947
1957
Rio de Janeiro (estado)
1969
1913
Semana de Arte Moderna
1922
1930
1949
Museu de Arte Moderna
1952
Nova York
Estados Unidos
1967
2001
Universidade de Brasília
1941
João Cabral de Melo Neto
1945
Guillaume Apollinaire
1960
Wikimedia
Digital object identifier
Biografia
